NSE:CUMMINSIND-EQ
NSE:ITC-EQ
NSE:SIEMENS-EQ
NSE:JINDALSTEL-EQ
NSE:JIOFIN-EQ
NSE:JKCEMENT-EQ
NSE:JSL-EQ
NSE:JSWENERGY-EQ
NSE:JSWSTEEL-EQ
NSE:JUBLFOOD-EQ
NSE:KALYANKJIL-EQ
NSE:KEI-EQ
NSE:KOTAKBANK-EQ
NSE:SUPREMEIND-EQ
NSE:LAURUSLABS-EQ
NSE:SYNGENE-EQ
NSE:TATACHEM-EQ
NSE:LODHA-EQ
NSE:LT-EQ
NSE:TATAELXSI-EQ
NSE:LTF-EQ
NSE:TATAMOTORS-EQ
NSE:LUPIN-EQ
NSE:M&M-EQ
NSE:M&MFIN-EQ
NSE:MANAPPURAM-EQ
NSE:MARICO-EQ
NSE:TATATECH-EQ
NSE:MARUTI-EQ
NSE:MAXHEALTH-EQ
NSE:MCX-EQ
NSE:MFSL-EQ
NSE:MGL-EQ
NSE:TCS-EQ
NSE:MOTHERSON-EQ
NSE:TIINDIA-EQ
NSE:TITAGARH-EQ
NSE:MUTHOOTFIN-EQ
NSE:NATIONALUM-EQ
NSE:NAUKRI-EQ
NSE:NCC-EQ
NSE:NESTLEIND-EQ
NSE:NHPC-EQ
NSE:NMDC-EQ
NSE:NTPC-EQ
NSE:TRENT-EQ
NSE:ONGC-EQ
NSE:ULTRACEMCO-EQ
NSE:PAGEIND-EQ
NSE:PAYTM-EQ
NSE:PEL-EQ
NSE:PETRONET-EQ
NSE:PFC-EQ
NSE:PHOENIXLTD-EQ
NSE:PIDILITIND-EQ
NSE:VBL-EQ
NSE:PNB-EQ
NSE:POLICYBZR-EQ
NSE:VEDL-EQ
NSE:POONAWALLA-EQ
NSE:POWERGRID-EQ
NSE:RAMCOCEM-EQ
NSE:RBLBANK-EQ
NSE:RECLTD-EQ
NSE:RELIANCE-EQ
NSE:SAIL-EQ
NSE:SBICARD-EQ
NSE:SBILIFE-EQ
NSE:SHREECEM-EQ
NSE:SJVN-EQ
NSE:SOLARINDS-EQ
NSE:SONACOMS-EQ
NSE:SRF-EQ
NSE:SUNPHARMA-EQ
NSE:TATACOMM-EQ
NSE:TATACONSUM-EQ
NSE:TATAPOWER-EQ
NSE:TATASTEEL-EQ
NSE:TECHM-EQ
NSE:TITAN-EQ
NSE:TORNTPHARM-EQ
NSE:TVSMOTOR-EQ
NSE:UNIONBANK-EQ
NSE:UNITDSPR-EQ
NSE:UPL-EQ
NSE:VOLTAS-EQ
NSE:WIPRO-EQ
NSE:YESBANK-EQ
NSE:ZOMATO-EQ
NSE:ZYDUSLIFE-EQ
NSE:TORNTPOWER-EQ
NSE:AARTIIND-EQ
NSE:ABB-EQ
NSE:ABCAPITAL-EQ
NSE:ABFRL-EQ
NSE:ACC-EQ
NSE:ADANIENSOL-EQ
NSE:ADANIENT-EQ
NSE:ADANIGREEN-EQ
NSE:ADANIPORTS-EQ
NSE:ALKEM-EQ
NSE:AMBUJACEM-EQ
NSE:ANGELONE-EQ
NSE:APLAPOLLO-EQ
NSE:APOLLOHOSP-EQ
NSE:APOLLOTYRE-EQ
NSE:ASHOKLEY-EQ
NSE:ASIANPAINT-EQ
NSE:ASTRAL-EQ
NSE:ATGL-EQ
NSE:AUBANK-EQ
NSE:AUROPHARMA-EQ
NSE:AXISBANK-EQ
NSE:BAJAJ-AUTO-EQ
NSE:BAJAJFINSV-EQ
NSE:BAJFINANCE-EQ
NSE:BALKRISIND-EQ
NSE:BANDHANBNK-EQ
NSE:BANKBARODA-EQ
NSE:BANKINDIA-EQ
NSE:BEL-EQ
NSE:BERGEPAINT-EQ
NSE:BHARATFORG-EQ
NSE:BHARTIARTL-EQ
NSE:BHEL-EQ
NSE:BIOCON-EQ
NSE:BOSCHLTD-EQ
NSE:BPCL-EQ
NSE:BRITANNIA-EQ
NSE:BSE-EQ
NSE:BSOFT-EQ
NSE:CAMS-EQ
NSE:CANBK-EQ
NSE:CDSL-EQ
NSE:CESC-EQ
NSE:CGPOWER-EQ
NSE:CHAMBLFERT-EQ
NSE:CHOLAFIN-EQ
NSE:CIPLA-EQ
NSE:COALINDIA-EQ
NSE:IIFL-EQ
NSE:IREDA-EQ
