call_oi,strike,source,ltp,put_oi,call_put_oi_ratio,index_name,ltp_strike_ratio
1600300,370,put,378.65,1959100,1.224,PFC,0.977
0,1400,put,1550.2,19250,19250.0,PHOENIXLTD,0.903
3250,2600,put,2659.95,67250,20.692,PIDILITIND,0.977
39375,400,put,452.3,1896125,48.156,VBL,0.884
9208000,90,put,87.69,8304000,0.902,PNB,1.026
34450,1450,put,1441.9,148525,4.311,POLICYBZR,1.006
1784800,400,put,407.3,2864650,1.605,VEDL,0.982
424850,280,put,272.6,498800,1.174,POONAWALLA,1.027
585000,250,put,251.95,2086200,3.566,POWERGRID,0.992
5950,800,put,836,90950,15.286,RAMCOCEM,0.957
262500,150,put,155.74,847500,3.229,RBLBANK,0.963
3405000,400,put,376,1313000,0.386,RECLTD,1.064
5591500,1200,put,1165,3956500,0.708,RELIANCE,1.03
4244000,140,put,105.82,4608000,1.086,SAIL,1.323
92000,800,put,832.65,312000,3.391,SBICARD,0.961
23625,1400,put,1422.45,270000,11.429,SBILIFE,0.984
775,27000,put,27751.95,3800,4.903,SHREECEM,0.973
1214325,85,put,82.16,2064825,1.7,SJVN,1.035
3300,8500,put,8863.9,9600,2.909,SOLARINDS,0.959
0,380,put,485.5,175150,175150.0,SONACOMS,0.783
236625,2800,put,2814.4,131250,0.555,SRF,0.995
274050,1600,put,1595.5,823900,3.006,SUNPHARMA,1.003
139250,1400,put,1333.9,90750,0.652,TATACOMM,1.05
0,880,put,952.9,320568,320568.0,TATACONSUM,0.923
3207600,400,put,342,2475900,0.772,TATAPOWER,1.17
3003000,135,put,137.55,7557000,2.516,TATASTEEL,0.981
193200,1500,put,1501.3,408600,2.115,TECHM,0.999
330400,3200,put,3088.9,253750,0.768,TITAN,1.036
28250,3000,put,2957.05,44500,1.575,TORNTPHARM,1.015
28350,2200,put,2292,165900,5.852,TVSMOTOR,0.96
960225,110,put,109.83,3575400,3.724,UNIONBANK,1.002
426300,1300,put,1309.2,164850,0.387,UNITDSPR,0.993
238480,600,put,622.7,712730,2.989,UPL,0.964
384300,1300,put,1363.6,312300,0.813,VOLTAS,0.953
2946000,290,put,285.55,2796000,0.949,WIPRO,1.016
18408000,17,put,16.47,13572000,0.737,YESBANK,1.032
206000,200,put,223.97,4026000,19.544,ZOMATO,0.893
176400,880,put,873.95,247500,1.403,ZYDUSLIFE,1.007
3750,1200,put,1261.8,28125,7.5,TORNTPOWER,0.951
6000,360,put,380.85,360000,60.0,AARTIIND,0.945
500,4500,put,5088.05,72000,144.0,ABB,0.884
67500,140,put,153.61,2111400,31.28,ABCAPITAL,0.911
1050400,300,put,239.35,1034800,0.985,ABFRL,1.253
88800,1800,put,1816.55,237000,2.669,ACC,0.991
140625,660,put,656.9,171875,1.222,ADANIENSOL,1.005
688500,2200,put,2104.9,482700,0.701,ADANIENT,1.045
491625,800,put,798.15,462750,0.941,ADANIGREEN,1.002
746800,1200,put,1056.95,580800,0.778,ADANIPORTS,1.135
6900,4500,put,4606.9,43200,6.261,ALKEM,0.977
451800,470,put,468.95,403200,0.892,AMBUJACEM,1.002
21000,1800,put,2013,303600,14.457,ANGELONE,0.894
17500,1400,put,1424.8,122850,7.02,APLAPOLLO,0.983
10125,6000,put,6157.9,47625,4.704,APOLLOHOSP,0.974
715700,400,put,385,615400,0.86,APOLLOTYRE,1.039
260000,200,put,209.61,1367500,5.26,ASHOKLEY,0.954
253600,2200,put,2153.25,243800,0.961,ASIANPAINT,1.022
246624,1400,put,1344.15,165150,0.67,ASTRAL,1.042
58125,550,put,545.25,185225,3.187,ATGL,1.009
107000,500,put,559.6,653000,6.103,AUBANK,0.893
13750,1000,put,1066.85,266750,19.4,AUROPHARMA,0.937
966250,1000,put,1003.05,1561250,1.616,AXISBANK,0.997
27225,7800,put,7776.75,47550,1.747,BAJAJ-AUTO,1.003
0,1560,put,1840.95,382500,382500.0,BAJAJFINSV,0.847
113375,8000,put,8630.3,319625,2.819,BAJFINANCE,0.927
8100,2600,put,2593.05,40200,4.963,BALKRISIND,1.003
3477600,140,put,140.91,4138400,1.19,BANDHANBNK,0.994
3548025,220,put,195.79,2729025,0.769,BANKBARODA,1.124
3198975,95,put,94.99,3676650,1.149,BANKINDIA,1.0
1120050,240,put,256.66,4790850,4.277,BEL,0.935
0,450,put,489.4,516120,516120.0,BERGEPAINT,0.919
62500,1000,put,1023.5,181500,2.904,BHARATFORG,0.977
583300,1600,put,1599.8,838850,1.438,BHARTIARTL,1.0
152250,170,put,184.46,3318000,21.793,BHEL,0.922
772500,300,put,302.6,1012500,1.311,BIOCON,0.991
